aloadp,asolarp
0.15627,-0.00090859
0.32105,-0.014762
0.45398,0
0.6364,-0.018259
1.0634,0
1.0656,-0.012411
0.87828,-0.041204
0.92534,-0.048136
0.87608,0
0.96401,-0.040549
0.97766,0
0.86776,0
0.9082,-0.0044377
2.1538,-0.022911
1.234,0
0.95701,-0.045457
0.81427,0
0.71258,0
0.6231,-0.020033
0.78047,-0.0146
0.78611,0
0.71667,0
0.69008,0
0.63549,0
0.81368,-0.044822
0.77605,-0.04405
0.66645,-0.0068137
0.69666,0
0.52442,0
0.63237,-0.014318
0.63682,-0.0011121
0.57868,-0.032935
0.53326,-0.039285
0.5412,0
0.792,-0.014043
0.81258,-0.014495
0.70887,-0.04046
0.62363,0
0.63235,-0.008172
1.0609,0
1.1806,0
0.68949,0
0.6781,0
0.64577,0
0.57191,-0.024861
0.6795,0
0.79721,0
0.67432,-0.048421
0.63238,-0.044235
0.60009,0
0.56236,-0.024407
0.67422,-0.047907
0.74958,0
0.79022,-0.046279
0.76652,-0.040688
0.65694,-0.013881
0.62308,-0.049685
0.77921,-0.0042507
0.84287,-0.039546
0.64432,0
0.54179,0
0.53247,0
0.49485,0
0.59527,-0.0038155
0.64395,-0.013161
0.57839,-0.046495
0.56736,0
0.59936,0
0.82933,0
0.73832,0
0.63377,-0.021658
0.54352,-0.01725
0.56559,-0.012864
0.58424,-0.026334
0.58826,-0.044496
0.65888,-0.094819
0.76497,-0.10477
0.76958,-0.18252
0.91377,-0.27883
0.88662,-0.15466
0.62589,-0.19772
0.59844,-0.30036
0.57034,-0.42173
0.64618,-0.3751
0.73416,-0.44631
0.68526,-0.47963
0.5963,-0.43444
0.64048,-0.39074
0.61123,-0.55573
0.83561,-0.56324
0.84303,-0.98553
0.62093,-1.0794
0.60581,-0.534
0.57552,-0.67749
0.7478,-1.13
1.2736,-1.1741
0.81194,-1.2623
0.57457,-1.4093
1.2114,-1.5609
1.8083,-1.2954
1.2164,-1.9414
1.1364,-2.0716
1.0753,-2.3395
1.071,-2.4394
1.1353,-2.5585
1.351,-2.721
1.2826,-2.8185
1.1957,-2.9955
1.1294,-3.0782
1.4189,-3.2663
1.4015,-3.3856
