aloadp,asolarp
0.2447,-0.050074
0.41664,0
0.55277,0
0.78986,0
1.1983,0
1.2136,0
1.1453,-0.016862
1.0742,-0.037866
1.1345,0
1.247,0
1.1883,-0.00029109
1.1205,0
1.0855,0
2.5408,-0.027066
1.4129,-0.034057
1.2222,-0.005595
0.96863,0
0.80996,-0.040528
0.81561,-0.02255
0.97801,-0.034964
1.0054,-0.011689
0.94548,0
0.80531,0
0.85649,0
0.92867,-0.031843
0.91108,-0.048135
0.83389,0
0.80889,-0.048518
0.7251,0
0.7689,0
0.76378,-0.018405
0.6575,0
0.58196,-0.0042724
0.75273,-0.015683
0.89237,0
0.966,0
0.83211,0
0.831,0
0.79059,-0.050015
1.3214,-0.033821
1.4281,-0.029372
0.79261,-0.038791
0.80842,-0.0080136
0.69739,-0.029556
0.71369,0
0.88962,0
0.93119,-0.024514
0.86175,0
0.76353,-0.047965
0.75207,0
0.74706,0
0.76426,0
0.99215,0
0.9392,0
1.0023,0
0.79399,-0.030495
0.75896,0
1.0098,0
1.0449,-0.048236
0.75167,-0.0051388
0.64828,-0.046865
0.63706,0
0.66494,0
0.78516,0
0.74405,-0.044363
0.74094,0
0.71054,-0.021823
0.78902,0
0.98297,0
0.95741,-0.047181
0.81547,0
0.71391,0
0.6859,-0.044062
0.67153,0
0.59287,-0.036137
0.72066,-0.041239
0.88873,-0.14211
0.91527,-0.1981
0.97436,-0.21377
0.96711,-0.17609
0.62361,-0.23669
0.65527,-0.28051
0.68898,-0.37056
0.65128,-0.34332
0.76069,-0.4137
0.81025,-0.4354
0.67884,-0.48373
0.6994,-0.4382
0.65752,-0.47437
0.99016,-0.59064
0.9144,-1.032
0.72747,-1.0558
0.70306,-0.54468
0.67711,-0.70899
0.7348,-1.1855
1.3813,-1.1432
0.95181,-1.295
0.64137,-1.4494
1.3359,-1.626
1.946,-1.2615
1.4104,-1.8613
1.196,-2.0915
1.1674,-2.2779
1.1074,-2.4747
1.2384,-2.6213
1.4456,-2.6651
1.4088,-2.8788
1.2914,-2.9421
1.3006,-3.0745
1.4856,-3.2078
1.5728,-3.4253
1.3798,-3.5047
1.3176,-3.6205
1.2361,-3.7206
1.3705,-3.8607
1.3532,-3.9724
1.3571,-4.0607
1.1847,-4.21
1.1906,-4.3087
1.7471,-4.3974
1.3803,-4.5214
1.4409,-4.596
1.3465,-4.6491
1.2426,-4.7621
1.4236,-4.8796
1.6954,-4.9365
1.6361,-5.0038
1.5727,-5.1184
1.6802,-5.1865
1.6887,-5.1946
1.562,-5.2678
1.4424,-5.3294
1.7043,-5.4127
1.8136,-5.3811
1.8766,-5.4841
2.0757,-5.5327
2.1771,-5.5451
1.9169,-5.6118
2.2819,-5.6366
2.0532,-5.668
2.1451,-5.7493
2.0054,-5.8575
2.4552,-5.8277
2.5376,-5.8287
2.5249,-5.7918
2.1623,-5.7156
1.81,-5.6818
1.3009,-5.6303
2.291,-5.5986
1.8014,-5.6024
2.3357,-5.6329
2.0129,-5.7688
2.6324,-5.7113
4.0215,-5.6753
6.6651,-5.6896
5.0667,-5.7354
2.6646,-5.662
2.3549,-5.691
2.5097,-5.6755
2.4834,-5.6519
2.6576,-5.6835
2.28,-5.6861
2.2989,-5.7456
1.8199,-5.7307
1.9495,-5.769
3.0028,-5.6889
3.4653,-5.6817
1.5849,-5.6956
1.6813,-5.679
1.7826,-5.7811
2.0885,-5.7689
2.1166,-5.7244
2.3661,-5.7455
1.8093,-5.7047
2.35,-5.5987
2.2698,-5.6165
1.9335,-5.3611
1.744,-5.2068
1.8555,-5.2654
1.908,-5.1372
1.9061,-5.0626
1.8289,-4.9372
1.5476,-4.7901
1.9054,-4.6022
2.4266,-4.5875
1.7704,-1.9529
1.9238,-4.199
7.604,-3.0391
8,-2.7977
8,-2.4447
8,-2.6236
8,-2.5637
8,-2.3976
8,-2.663
7.0675,-2.7577
