aloadp,asolarp
0.24444,-0.015872
0.38435,0
0.57908,-0.046202
0.81479,0
1.2666,-0.045531
1.3043,0
1.0945,-0.046956
1.0959,-0.040879
1.1262,0
1.2299,0
1.2401,0
1.0915,-0.044534
1.1923,0
2.6298,0
1.5081,-0.02134
1.2164,-0.048848
0.98736,0
0.84968,-0.039759
0.83735,-0.0070691
1.0119,-0.041323
1.0747,0
0.94709,0
0.83905,0
0.84973,0
1.0011,-0.039929
0.99919,-0.047581
0.85183,-0.0067062
0.84507,-0.021122
0.6591,0
0.86855,-0.0030126
0.80778,0
0.6572,0
0.61839,0
0.75745,-0.035582
0.9845,-0.027375
1.0559,0
0.88887,-0.012242
0.78629,-0.047524
0.84691,0
1.3665,-0.040906
1.4597,0
0.85364,-0.0017899
0.78889,0
0.80969,0
0.78845,0
0.90102,0
1.0089,-0.014917
0.9464,0
0.82061,-0.041594
0.77621,-0.020217
0.74825,-0.03461
0.79623,0
1.0269,0
1.0408,-0.0019308
1.0273,-0.047873
0.86147,-0.019385
0.78668,0
1.0144,-0.034189
1.1088,-0.021203
0.80209,-0.034245
0.70656,-0.043226
0.62655,-0.012126
0.60695,-0.024876
0.76454,-0.0094674
0.79066,0
0.76298,0
0.73263,0
0.79163,-0.03168
0.99435,0
0.98128,-0.030371
0.80091,-0.0069639
0.6552,-0.0014326
0.7339,0
0.77632,-0.015143
0.73804,0
0.77348,-0.019447
1.0241,-0.051136
1.0379,-0.0327
1.1638,-0.12305
1.1934,-0.048815
0.71321,-0.1439
0.77682,-0.14127
0.83744,-0.14089
0.76437,-0.15614
0.92123,-0.17994
0.92688,-0.1915
0.85065,-0.19661
0.72569,-0.20916
0.79469,-0.21999
1.12,-0.32263
1.1137,-0.43748
0.84266,-0.45364
0.72497,-0.29091
0.7178,-0.33108
0.87792,-0.51472
1.6602,-0.52475
1.1533,-0.62215
0.70686,-0.63341
1.6456,-0.77647
2.294,-0.63285
1.6542,-0.89097
1.4336,-1.0293
1.3692,-1.0798
1.3403,-1.1475
1.4319,-1.2573
1.6546,-1.2757
1.6866,-1.3363
1.5318,-1.3534
1.5398,-1.4941
1.796,-1.5196
1.8292,-1.568
1.6833,-1.6615
1.4837,-1.7167
1.5208,-1.7629
1.6416,-1.7716
1.6031,-1.8636
1.5089,-1.9417
1.4049,-1.9314
1.3537,-1.9738
2.0016,-2.0547
1.6637,-2.0862
1.7131,-2.1777
1.5748,-2.2124
1.5146,-2.2183
1.6013,-2.2997
2.0063,-2.3542
1.9537,-2.349
1.8122,-2.3942
1.9611,-2.3841
1.9422,-2.5051
1.8116,-2.4967
1.7086,-2.5123
1.9965,-2.5159
2.2009,-2.5048
2.1936,-2.5832
2.4222,-2.591
2.5883,-2.5811
2.2616,-2.6664
2.6829,-2.6095
2.379,-2.714
2.4779,-2.6748
2.4056,-2.7329
2.9116,-2.7669
2.986,-2.7261
3.0779,-2.8824
2.7069,-3.0434
2.4767,-3.1608
1.8399,-3.3259
3.2994,-3.4587
2.5346,-3.4718
3.334,-3.4843
2.8765,-3.5517
3.9096,-3.5371
5.8412,-3.4629
8,-3.4978
7.362,-3.5619
3.8711,-3.4742
3.3808,-3.5522
3.5946,-3.4709
3.632,-3.4832
3.8761,-3.5035
3.3079,-3.5013
3.3912,-3.6027
2.6968,-3.5896
2.7679,-3.549
4.3178,-3.4722
4.9367,-3.4918
2.3663,-3.528
2.419,-3.5674
2.5732,-3.5721
3.0432,-3.5382
3.0605,-3.5981
3.3669,-3.5207
2.6619,-3.4929
3.3303,-3.4785
3.351,-3.4792
2.7446,-3.2735
2.4994,-3.2193
2.6537,-3.217
2.7269,-3.2093
2.7116,-3.183
2.6335,-3.0978
2.2322,-2.9585
2.7426,-2.7783
3.5307,-2.8567
2.4734,-1.1636
2.7322,-2.538
8,-1.8606
8,-1.7429
8,-1.4648
8,-1.6068
8,-1.6039
8,-1.4909
8,-1.6336
8,-1.7267
7.6391,-1.6783
5.9177,-0.4543
5.1742,-1.1711
5.5299,-1.8675
5.8429,-1.7784
4.143,-1.5608
4.9382,-1.3241
6.0755,-1.3627
4.2948,-1.2385
5.208,-1.2368
4.3585,-1.2196
5.4513,-0.79812
2.2558,-0.49086
2.1756,-0.6581
2.4851,-0.62592
2.5181,-0.65306
2.4745,-0.59679
2.3697,-0.53873
2.1167,-0.44438
2.2368,-0.42271
2.3084,-0.4009
2.0413,-0.35549
1.8991,-0.44621
2.0543,-0.46779
1.8663,-0.38313
1.6633,-0.33028
1.5574,-0.27738
1.5846,-0.30566
1.6854,-0.39499
1.6492,-0.23917
1.6118,-0.27218
1.4994,-0.18575
1.4951,-0.1706
1.6435,-0.13567
1.7312,-0.26662
1.7145,-0.26563
1.612,-0.36523
1.6147,-0.36481
1.7188,-0.32113
2.7867,-0.25615
3.4194,-0.19438
1.9684,-0.14327
2.2367,-0.13241
2.4343,-0.057004
2.4017,-0.017649
2.416,-0.032058
2.7232,-0.0098141
2.5118,0
1.6033,0
1.443,-0.0089013
1.5355,-0.041076
1.5394,-0.011011
1.7056,-0.0023603
1.8322,-0.045103
1.6438,-0.0087633
1.5468,0
1.4376,0
1.412,0
1.4228,-0.0061142
1.4505,-0.045382
1.2903,0
1.5135,0
1.995,-0.043285
1.4356,-0.0030316
1.4726,-0.014302
1.4975,-0.019976
1.3914,-0.03311
1.184,-0.015468
1.2349,0
1.2529,-0.048256
1.139,-0.01528
1.0841,-0.02688
1.0659,0
1.2735,0
1.4823,-0.039345
1.2216,0
0.91683,0
1.0434,-0.016715
1.0703,0
1.0667,0
0.93012,-0.040156
1.0883,0
1.2196,-0.017666
1.4266,-0.047998
1.4364,0
1.3907,0
1.3706,-0.0028212
1.5335,-0.0039631
2.8382,0
2.3975,0
1.3041,0
1.1787,-0.031892
1.09,-0.036963
1.0043,-0.0077974
0.98176,0
1.0548,0
1.1674,0
1.5733,-0.027814
1.5937,0
1.362,-0.011619
1.3111,-0.028668
1.3496,0
1.5201,0
1.4927,-0.025228
1.3018,-0.043553
1.4161,-0.0099093
3.1971,0
1.7676,0
1.5072,0
1.2754,0
1.0364,-0.025872
0.98378,0
1.235,0
1.2104,-0.013563
1.1405,-0.018617
0.96643,0
0.97392,0
1.2344,-0.018014
1.1981,-0.016798
1.029,-0.049455
0.98273,0
0.87888,-0.0013017
1.0128,0
1.011,-0.010064
0.81756,0
0.81472,-0.030209
0.90328,-0.020207
1.1053,-0.045642
1.278,-0.0068508
1.1136,0
1.0405,-0.001496
0.93335,0
1.6743,0
1.8043,0
0.94091,0
0.99688,-0.0031011
0.90672,-0.047916
0.89172,0
1.0827,0
1.1424,0
1.1253,0
0.99913,-0.014633
0.88121,0
0.92645,0
1.0135,0
1.2386,-0.019788
1.1564,-0.044328
1.1673,0
1.0188,0
1.005,-0.042521
1.2532,0
1.261,-0.0054597
0.97235,0
0.80817,0
0.7857,0
0.79147,0
1.0049,0
0.98318,-0.018565
0.93796,0
0.89894,-0.014446
0.9433,-0.0272
1.2276,0
1.1537,-0.013065
1.0043,0
0.87733,0
0.83594,-0.053168
0.91043,0
0.8411,-0.034236
1.0184,-0.016723
1.2118,-0.10118
1.2282,-0.11927
1.4101,-0.13364
1.4176,-0.1666
0.85134,-0.11972
0.88827,-0.22227
0.96776,-0.24243
0.9607,-0.2051
1.0849,-0.28222
1.143,-0.26084
0.96348,-0.24925
0.93185,-0.22435
1.0023,-0.2924
1.3585,-0.39236
1.2904,-0.60785
1.0605,-0.63759
0.94822,-0.33963
0.85685,-0.40395
1.0999,-0.70349
1.9942,-0.69266
1.3322,-0.79303
0.87013,-0.89315
1.9302,-1.0152
2.7134,-0.72429
1.9051,-1.1788
1.703,-1.2863
1.6306,-1.3905
1.6701,-1.4977
1.7461,-1.5299
2.0169,-1.6359
1.9905,-1.7502
1.856,-1.8385
1.7976,-1.8806
2.1247,-1.987
2.205,-2.0328
2.0319,-2.1628
1.7997,-2.1608
1.8047,-2.2394
1.8851,-2.3085
1.9041,-2.4171
1.8426,-2.4449
1.6798,-2.4851
1.6765,-2.5549
2.4274,-2.624
2.0486,-2.6546
2.0496,-2.7004
1.7827,-2.7711
1.837,-2.8969
1.8989,-2.9456
2.3857,-3.0172
2.3219,-3.0356
2.1824,-3.0578
2.3392,-3.1169
2.3307,-3.1281
2.1688,-3.2436
2.1322,-3.24
2.4217,-3.2229
2.6559,-3.2424
2.6039,-3.336
2.8836,-3.3272
3.1093,-3.3703
2.7415,-3.3891
3.193,-3.4345
2.8288,-3.4253
2.9849,-3.4772
2.8688,-3.4711
3.4402,-3.5164
3.5647,-3.5549
3.4609,-3.6778
2.9419,-3.924
2.5945,-4.1056
1.8522,-4.277
3.2287,-4.5961
2.4483,-4.6107
3.2937,-4.584
